"geography","stationName","medianHouseholdIncome"
"Antioch-Pittsburg CCD, Contra Costa County, California","PITT","49302"
"Antioch-Pittsburg CCD, Contra Costa County, California","ANTC","49302"
"Antioch-Pittsburg CCD, Contra Costa County, California","PCTR","49302"
"Berkeley CCD, Alameda County, California","DBRK","52369"
"Berkeley CCD, Alameda County, California","NBRK","52369"
"Berkeley CCD, Alameda County, California","ASHB","52369"
"Central Contra Costa CCD, Contra Costa County, Californi","ORIN",NA
"Central Contra Costa CCD, Contra Costa County, California","NCON","189481"
"Central Contra Costa CCD, Contra Costa County, California","PHIL","189481"
"Central Contra Costa CCD, Contra Costa County, California","CONC","189481"
"Central Contra Costa CCD, Contra Costa County, California","LAFY","189481"
"Central Contra Costa CCD, Contra Costa County, California","WCRK","189481"
"Elsinore Valley CCD, Riverside County, California","WARM","34961"
"Fremont CCD, Alameda County, California","FRMT","109173"
"Hayward CCD, Alameda County, California","SHAY","127924"
"Hayward CCD, Alameda County, California","UCTY","127924"
"Hayward CCD, Alameda County, California","SANL","127924"
"Hayward CCD, Alameda County, California","CAST","127924"
"Hayward CCD, Alameda County, California","HAYW","127924"
"Hayward CCD, Alameda County, California","BAYF","127924"
"Lake Berryessa CCD, Napa County, California","BERY","720"
"Livermore-Pleasanton CCD, Alameda County, California","DUBL","81152"
"Livermore-Pleasanton CCD, Alameda County, California","WDUB","81152"
"Oakland CCD, Alameda County, California","ROCK","171887"
"Oakland CCD, Alameda County, California","19TH","171887"
"Oakland CCD, Alameda County, California","OAKL","171887"
"Oakland CCD, Alameda County, California","12TH","171887"
"Oakland CCD, Alameda County, California","FTVL","171887"
"Oakland CCD, Alameda County, California","COLS","171887"
"Oakland CCD, Alameda County, California","WOAK","171887"
"Oakland CCD, Alameda County, California","LAKE","171887"
"Oakland CCD, Alameda County, California","MCAR","171887"
"San Francisco CCD, San Francisco County, California","16TH","359673"
"San Francisco CCD, San Francisco County, California","CIVC","359673"
"San Francisco CCD, San Francisco County, California","GLEN","359673"
"San Francisco CCD, San Francisco County, California","MONT","359673"
"San Francisco CCD, San Francisco County, California","SFIA","359673"
"San Francisco CCD, San Francisco County, California","BALB","359673"
"San Francisco CCD, San Francisco County, California","24TH","359673"
"San Francisco CCD, San Francisco County, California","EMBR","359673"
"San Francisco CCD, San Francisco County, California","POWL","359673"
"San Francisco CCD, San Francisco County, California","SSAN","359673"
"San Jose CCD, Santa Clara County, California","MLPT","593313"
"South San Francisco CCD, San Mateo County, California","COLM","106301"
"South San Francisco CCD, San Mateo County, California","DALY","106301"
"South San Francisco CCD, San Mateo County, California","SBRN","106301"
"South San Francisco CCD, San Mateo County, California","MLBR","106301"
"West Contra Costa CCD, Contra Costa County, California","RICH","88800"
"West Contra Costa CCD, Contra Costa County, California","PLZA","88800"
"West Contra Costa CCD, Contra Costa County, California","DELN","88800"
